INDEXATION CARBURANT Clients 2026;;;;;;;;;;;;;;;;;;;;
;;;;;;Jours;Ouvrables;;26;24;26;25;22;26;26;25;26;27;24;26
;;;;;;;Ouvrés;;21;20;22;21;17;22;22;21;22;22;20;22
;;;;;;;;;;;;;;;;;;;;
CLIENTS;Contrats;Code Facturation;Indice de Référence;Base indice;Pondération;Mode de Facturation IGO;Valeur de Réf.;;janv-26;févr-26;mars-26;avr-26;mai-26;juin-26;juil-26;août-26;sept-26;oct-26;nov-26;déc-26
DHL AVIATION;;DHLAV;;;;;;;;;;;;;;;;;;
DHL EUROAD;COST CENTER 925201;DHLGM;0,8986;CMM M-1;13%;% Pied de facture;;;5,35%;6,12%;6,60%;12,43%;-13,00%;-13,00%;-13,00%;-13,00%;-13,00%;-13,00%;-13,00%;-13,00%
DHL EXPRESS;CONTRAT FRD;DHLINT;0;;;;;;;;;;;;;;;;;
DHL EXPRESS;COURSE-SPL;DHLINT;;;;;;;;;;;;;;;;;;
DHL EXPRESS;PRESTATIONS IDF GAZ;DHLINT;162,44;CNR GNV M-1;18%;% Pied de facture;;;-0,11%;-0,31%;1,69%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%
DHL EXPRESS;PRESTATIONS IDF GO;DHLINT;224,45;CNR GO PRO M-1;18%;% Pied de facture;;;-3,44%;-2,95%;-2,49%;1,90%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%
DHL EXPRESS;PRESTATIONS LYON GO;DHLINT;152,93;CNR GO PRO M-1;18%;% Pied de facture;;;3,37%;4,09%;4,76%;11,20%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%;-18,00%
DHL FREIGHT;;DHLFREI;?;;;;;;;;;;;;;;;;;
DPD 78;;DPD078;1,0643;DIREM M-1;20%;% Pied de facture;;;5,15%;5,59%;6,19%;12,37%;-20,00%;-20,00%;-20,00%;-20,00%;-20,00%;-20,00%;-20,00%;-20,00%
EXAPAQ;095_175_095;EXAPAQ;0,8661;DIREM du mois M;0,28;Sur Km;180;;0,1401;0,1424;0,2495;-0,2425;-0,2425;-0,2425;-0,2425;-0,2425;-0,2425;-0,2425;-0,2425;-0,2425
EXAPAQ;078 MINOLTA;EXAPAQ;0,8661;DIREM du mois M;0,3;Sur Km;280;;0,1501;0,1526;0,2674;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598
EXAPAQ;078_175_076_175_078;EXAPAQ;0,8661;DIREM du mois M;0,3;Sur Km;484;;0,1501;0,1526;0,2674;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598
EXAPAQ;078_Ramasses_078_175_078;EXAPAQ;0,8661;DIREM du mois M;0,3;Sur Km;340;;0,1501;0,1526;0,2674;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598;-0,2598
EXAPAQ;Amblainville ;EXAPAQ;0,975;CNR GNV M-1/100;0,26;Sur Km;237;;0,1662;0,1615;0,2085;-0,2535;-0,2535;-0,2535;-0,2535;-0,2535;-0,2535;-0,2535;-0,2535;-0,2535
EXAPAQ;Vemars;EXAPAQ;0,975;CNR GNV M-1/100;0,28;Sur Km;161;;0,1790;0,1739;0,2245;-0,2730;-0,2730;-0,2730;-0,2730;-0,2730;-0,2730;-0,2730;-0,2730;-0,2730
FEDEX AGENCE TREMBLAY;R404;FEDEX;183,55;????;12,71%;% Pied de facture;;;;;;;;;;;;;;
FEDEX AGENCE TREMBLAY;R528;FEDEX;222,12;????;26%;% Pied de facture;;;;;;;;;;;;;;
FEDEX AGENCE TREMBLAY;R487;FEDEX;222,12;????;26%;% Pied de facture;;;;;;;;;;;;;;
FEDEX AGENCE TREMBLAY;R488;FEDEX;222,12;????;26%;% Pied de facture;;;;;;;;;;;;;;
FEDEX;FEDEX LBG;FEDEX;160;CNR GNV M-1;24%;% Pied de facture;;;0,21%;-0,06%;2,65%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%
FEDEX;FRT91A-1110614-2 (indice 202,73);FEDEX;202,73;CNR GO PRO M-2;26%;% Pied de facture;;;-1,37%;-2,72%;-1,93%;-1,20%;5,82%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%
FEDEX;FRT91A-1110614-2 (FRT03850);FEDEX;202,73;CNR GO PRO M-2;16%;% Pied de facture;;;-0,84%;-1,67%;-1,19%;-0,74%;3,58%;-16,00%;-16,00%;-16,00%;-16,00%;-16,00%;-16,00%;-16,00%
FEDEX;FRT91A-1110614-2 (indice 188,39);FEDEX;188,39;CNR GO PRO M-2;25%;% Pied de facture;;;0,48%;-0,91%;-0,10%;0,66%;7,92%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%
FEDEX;FRT91A-1110614-2 (FRT04272);FEDEX;188,39;CNR GO PRO M-2;24%;% Pied de facture;;;0,46%;-0,88%;-0,09%;0,63%;7,60%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%
FEDEX;FRT91A-1110614-2 (FRT03910-03932);FEDEX;188,39;CNR GO PRO M-2;17%;% Pied de facture;;;0,33%;-0,62%;-0,07%;0,45%;5,39%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%
FEDEX;FRTLY4-1110567-1;FEDEX;202,73;CNR GO PRO M-2;26%;% Pied de facture;;;-1,37%;-2,72%;-1,93%;-1,20%;5,82%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%
FEDEX;FRTNY4-1110517-1;FEDEX;202,73;CNR GO PRO M-2;26%;% Pied de facture;;;-1,37%;-2,72%;-1,93%;-1,20%;5,82%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%
FEDEX;FRT91A-1110614-2 (indice 195,67);FEDEX;195,67;CNR GO PRO M-2;22,1%;% Pied de facture;;;-0,41%;-1,60%;-0,90%;-0,26%;5,92%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%
FEDEX Réseau Acheminement;AIDF40;FEDEX;188,39;CNR GO PRO M-1;24%;% Pied de facture;;;-0,88%;-0,09%;0,63%;7,60%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%;-24,00%
FEDEX Réseau Acheminement;A5167;FEDEX;202,73;CNR GO PRO M-1;26%;% Pied de facture;;;-2,72%;-1,93%;-1,20%;5,82%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%;-26,00%
